time,mean_pressure,min_pressure,max_pressure,std_pressure,pressure_range,anomaly
30600,51.679392109611335,-1.2939453e-06,88.79123,16.852252772412335,88.7912312939453,0
31500,51.57683967754054,-1.2939453e-06,88.508705,16.868942449287317,88.50870629394531,0
32400,50.59728042956078,-1.2939453e-06,86.624,16.636965375967765,86.6240012939453,1
33300,53.031323131580955,-1.2939453e-06,100.89122,17.841761273107537,100.8912212939453,0
34200,53.403071988904145,-1.2939453e-06,100.97073,17.96301819520517,100.9707312939453,0
35100,53.42979538562131,-1.2939453e-06,101.060326,17.95363606058768,101.0603272939453,0
36000,52.96667566137894,-1.2939453e-06,99.99253,17.758132783077116,99.9925312939453,0
36900,52.97738802223753,-1.2939453e-06,100.043816,17.747898696472724,100.04381729394531,0
37800,52.98697637097487,-1.2939453e-06,100.08737,17.737347194426633,100.08737129394531,0
38700,52.99661263385367,-1.2939453e-06,100.13083,17.726989647628805,100.1308312939453,0
39600,52.95038130683343,-1.2939453e-06,99.76641,17.670975357839325,99.7664112939453,0
40500,52.95283552552036,-1.2939453e-06,99.79129,17.660123181750148,99.7912912939453,0
41400,53.63074374395465,-1.2939453e-06,99.48766,17.84576839106149,99.48766129394531,0
42300,54.75838039041932,-1.2939453e-06,99.04091,19.05123836255422,99.0409112939453,0
43200,54.65044496036883,-1.2939453e-06,99.50483,19.134030598436315,99.5048312939453,0
44100,54.66957978284358,-1.2939453e-06,99.50525,19.14030983803531,99.5052512939453,0
45000,54.80323529218703,-1.2939453e-06,99.502686,19.21229848156934,99.5026872939453,0
45900,54.82458928284358,-1.2939453e-06,99.49965,19.217775190035248,99.4996512939453,0
46800,54.763127547995126,-1.2939453e-06,98.56997,19.08923976073335,98.5699712939453,0
47700,54.777269652035535,-1.2939453e-06,98.52417,19.093987945462423,98.5241712939453,0
48600,54.78963878511636,-1.2939453e-06,98.46681,19.098385274775243,98.4668112939453,0
49500,54.80186708435877,-1.2939453e-06,98.40906,19.10290645194739,98.4090612939453,0
50400,55.0211033181971,-1.2939453e-06,99.24626,19.225392054646537,99.24626129394531,0
51300,55.05080520658095,-1.2939453e-06,99.25181,19.230775410995587,99.25181129394531,0
52200,55.078636082085985,-1.2939453e-06,99.246,19.23577358990034,99.2460012939453,0
53100,55.106277225772864,-1.2939453e-06,99.23966,19.24083529168016,99.2396612939453,0
54000,54.900792020974826,-1.2939453e-06,98.2007,19.174699086804083,98.2007012939453,0
54900,54.91709762930826,-1.2939453e-06,98.14527,19.181346987838737,98.1452712939453,0
55800,54.93083859016686,-1.2939453e-06,98.07305,19.187493422447893,98.0730512939453,0
56700,54.94441501415672,-1.2939453e-06,98.000465,19.193791524615445,98.00046629394531,0
57600,54.66921935809613,-1.2939453e-06,98.181404,19.11404059826408,98.1814052939453,0
58500,54.53719176289406,-1.2939453e-06,98.1298,19.12786279971222,98.1298012939453,0
59400,54.518601846479896,-1.2939453e-06,98.07649,19.16141551554996,98.07649129394531,0
60300,53.12755903259105,-1.2939453e-06,98.02272,18.97233989466522,98.02272129394531,0
61200,52.99840800531831,-1.2939453e-06,97.640594,18.816586636844704,97.6405952939453,0
62100,52.95125047627791,-1.2939453e-06,97.56115,18.84273245499789,97.5611512939453,0
63000,50.97921235733855,-1.2939453e-06,98.20994,17.446592563138125,98.2099412939453,1
63900,50.91549685834865,-1.2939453e-06,98.17541,17.449482405176916,98.1754112939453,1
64800,50.73183310415675,-1.2939453e-06,98.265,17.56903196243044,98.2650012939453,1
65700,50.67581420112641,-1.2939453e-06,98.241684,17.57695601346464,98.24168529394531,1
66600,50.61978331693449,-1.2939453e-06,98.218155,17.585240822731663,98.2181562939453,1
67500,50.56378969799508,-1.2939453e-06,98.19472,17.59392892692111,98.1947212939453,1
68400,50.75868685885369,-1.2939453e-06,98.22959,17.711387494447198,98.2295912939453,1
69300,50.72326142880316,-1.2939453e-06,98.21125,17.6960494033692,98.21125129394531,1
70200,50.687873406075916,-1.2939453e-06,98.19282,17.680876511135892,98.1928212939453,1
71100,50.65251990026777,-1.2939453e-06,98.174416,17.665892825801052,98.1744172939453,1
72000,50.35543828814656,-1.2939453e-06,97.88151,17.632177654196347,97.88151129394531,1
72900,50.3127920916819,-1.2939453e-06,97.84292,17.61576897177544,97.84292129394531,1
73800,50.27005757804555,-1.2939453e-06,97.8032,17.599458995536953,97.8032012939453,1
74700,50.22737635329815,-1.2939453e-06,97.76357,17.583350899501024,97.7635712939453,1
75600,50.646577453045595,-1.2939453e-06,97.73044,17.669983426328873,97.7304412939453,1
76500,50.62089368865166,-1.2939453e-06,97.69138,17.656142938045146,97.6913812939453,1
77400,50.59514062956075,-1.2939453e-06,97.652466,17.642342128875907,97.6524672939453,1
78300,50.56940588057085,-1.2939453e-06,97.61364,17.628763422305276,97.6136412939453,1
79200,50.950364214661754,-1.2939453e-06,98.784355,17.7209361611246,98.78435629394531,1
80100,50.93829610026781,-1.2939453e-06,98.83883,17.713458700758306,98.8388312939453,1
81000,50.92362591819708,-1.2939453e-06,98.87615,17.704903882253095,98.8761512939453,1
81900,52.08857731693451,-1.2939453e-06,98.79251,19.121345178876716,98.7925112939453,0
82800,52.39241877375266,-1.2939453e-06,98.971375,19.167627712342764,98.9713762939453,0
83700,52.39966866516682,-1.2939453e-06,99.003586,19.175767832136685,99.0035872939453,0
84600,52.40661155683348,-1.2939453e-06,99.03532,19.18400434124242,99.0353212939453,0
85500,52.413361821479945,-1.2939453e-06,99.06673,19.19241589139586,99.06673129394531,0
86400,53.34920362728806,-1.2939453e-06,100.12872,19.69409066628279,100.1287212939453,0
